"Latitude","Longitude","Sample.Date","3.Low","PossiblyImpaired","sample_id","Stream.Name","1.High","2.Slight"
42.6998,-73.939,2016-09-29,0.891408342,"yes","","",NA,NA
42.702,-73.9658,2016-09-29,0.850370875,"yes","","",NA,NA
42.7366,-73.7145,2016-07-28,0.975837578,"yes","","",NA,NA
42.7389,-73.7145,2014-07-26,0.958137873,"yes","","",NA,NA
42.7543,-73.7006,2014-08-07,0.969394887,"yes","","",NA,NA
42.7543,-73.7006,2015-09-23,0.969394887,"yes","","",NA,NA
42.7554,-73.8658,2014-07-01,0.565201483,"yes","","",NA,NA
42.7565,-73.867,2018-08-09,0.886061322,"yes","","",NA,NA
42.7647,-73.723,2018-08-14,0.68914437,"yes","","",NA,NA
42.7756,-73.7637,2015-09-20,0.842903694,"yes","","",NA,NA
42.7775,-73.8227,2012-07-19,0.836425749,"yes","","",NA,NA
42.7781,-73.7917,2014-08-12,0.790687458,"yes","","",NA,NA
42.7786,-73.7915,2014-09-12,0.927255576,"yes","","",NA,NA
42.7833,-73.8572,2012-07-11,0.530782104,"yes","","",NA,NA
42.7833,-73.8572,2014-07-24,0.530782104,"yes","","",NA,NA
42.794,-74.1724,2014-07-16,0.992721043,"yes","","",NA,NA
42.8019,-73.848,2012-08-30,0.942026128,"yes","","",NA,NA
42.829,-76.407,2017-07-19,0.518876155,"yes","","",NA,NA
42.8335,-77.6967,2013-09-27,0.582771663,"yes","","",NA,NA
42.834,-77.8962,2016-09-30,0.506232213,"yes","","",NA,NA
42.8454,-74.0129,2012-08-31,0.991823119,"yes","","",NA,NA
42.85,-76.464,2017-07-18,0.669033738,"yes","","",NA,NA
42.853,-73.8959,2016-07-20,0.901286058,"yes","","",NA,NA
42.875,-76.562,2017-08-10,0.907429009,"yes","","",NA,NA
42.885,-76.47,2017-07-18,0.757702193,"yes","","",NA,NA
42.8929,-77.6742,2014-08-01,0.958137873,"yes","","",NA,NA
42.894,-73.7911,2013-08-06,0.920139867,"yes","","",NA,NA
42.896,-73.7913,2015-09-09,0.874701898,"yes","","",NA,NA
42.9012,-76.5273,2015-09-20,0.839692075,"yes","","",NA,NA
42.9037,-73.5455,2015-08-21,0.768147012,"yes","","",NA,NA
42.9113,-73.8984,2018-08-26,0.829457157,"yes","","",NA,NA
42.917,-76.515,2017-07-18,0.994436419,"yes","","",NA,NA
42.918,-76.522,2017-07-18,0.518316371,"yes","","",NA,NA
42.9183,-73.7694,2013-08-06,0.627187814,"yes","","",NA,NA
42.924,-76.508,2017-07-17,0.915583127,"yes","","",NA,NA
42.9457,-78.3431,2019-08-22,0.65586789,"yes","","",NA,NA
42.9462,-73.9953,2017-07-18,0.80424539,"yes","","",NA,NA
42.9618,-78.3533,2019-08-21,0.858320118,"yes","","",NA,NA
42.979,-77.9884,2017-09-30,0.835486912,"yes","","",NA,NA
42.9939,-78.4351,2019-08-20,0.661252222,"yes","","",NA,NA
