"WA_SAMPLE_ID","WA_ASSESSMENT"
"41.5697_-74.2846_20130909","no known impact"
"41.572_-73.6075_20170715","no conclusion"
"41.578_-73.8017_20120909","possibly impaired"
"41.5815_-74.33_20130823","no conclusion"
"41.5823_-74.5688_20130816","no known impact"
"41.5846_-74.0786_20130724","no conclusion"
"41.5846_-74.0786_20130724","no conclusion"
"41.5846_-74.0786_20130725","no conclusion"
"41.585_-73.5998_20170716","no known impact"
"41.5852_-73.5995_20160711","no conclusion"
"41.5878_-73.7897_20120914","no known impact"
"41.589_-73.5837_20170716","no known impact"
"41.5891_-73.5842_20140701","no conclusion"
"41.5931_-73.9259_20150702","no conclusion"
"41.5972_-74.4861_20150920","no conclusion"
"41.6033_-74.0795_20130807","possibly impaired"
"41.6036_-74.3273_20160727","no known impact"
"41.6066_-74.0744_20130807","no conclusion"
"41.6068_-74.0744_20170920","no conclusion"
"41.6105_-73.7468_20130804","no conclusion"
"41.6172_-73.8238_20150901","no conclusion"
"41.6206_-73.6538_20130725","no conclusion"
"41.625_-73.9425_20130719","no conclusion"
"41.6268_-74.8159_20170910","no conclusion"
"41.6332_-74.7759_20170710","no conclusion"
"41.6398_-74.4471_20160714","no known impact"
"41.6444_-74.4425_20130720","no conclusion"
"41.6475_-73.5934_20190929","no conclusion"
"41.6484_-74.2641_20160727","no known impact"
"41.6557_-73.5373_20140701","no known impact"
"41.6559_-73.5355_20160803","no known impact"
"41.6597_-74.8076_20170717","possibly impaired"
"41.6648_-74.8139_20170703","no conclusion"
"41.6652_-74.4794_20130720","no conclusion"
"41.6652_-74.4794_20130725","no known impact"
"41.676_-74.2626_20130822","no known impact"
"41.682_-73.8927_20160809","no conclusion"
"41.6838_-73.8664_20130824","no known impact"
"41.6864_-74.1648_20160811","possibly impaired"
"41.6875_-74.1732_20160811","no known impact"
"41.6963_-74.1011_20120831","no conclusion"
"41.6963_-74.1011_20120920","no conclusion"
"41.6963_-74.1011_20120923","no conclusion"
"41.6989_-73.866_20130824","no conclusion"
"41.7011_-73.8886_20140917","possibly impaired"
"41.7071_-73.9239_20160809","no conclusion"
"41.7087_-73.9334_20160809","no conclusion"
"41.7091_-73.9388_20140910","no conclusion"
"41.7172_-74.0124_20130823","no conclusion"
"41.72_-74.3917_20130727","no known impact"
"41.7202_-73.9566_20160701","no conclusion"
"41.7244_-74.4581_20160828","no known impact"
"41.7253_-74.1047_20120917","no known impact"
"41.7277_-73.5862_20140923","no known impact"
"41.7278_-73.5848_20160803","no known impact"
"41.7295_-73.9717_20160702","no known impact"
"41.7346_-73.5806_20140919","no known impact"
"41.7351_-73.576_20160727","possibly impaired"
"41.7352_-74.2344_20170822","no conclusion"
"41.7367_-73.5711_20160721","no conclusion"
"41.7368_-73.5714_20160721","no conclusion"
"41.738_-74.3767_20130811","no known impact"
"41.7394_-73.5849_20140919","no known impact"
"41.7399_-74.6642_20160926","no conclusion"
"41.74_-74.6642_20170915","no conclusion"
"41.7409_-73.8274_20140917","no known impact"
"41.7542_-74.073_20160920","possibly impaired"
"41.7572_-74.3574_20160707","no conclusion"
"41.7622_-73.8996_20120924","no conclusion"
"41.7631_-74.3332_20150925","no known impact"
"41.7646_-74.9414_20130820","no known impact"
"41.7701_-74.3112_20150920","no conclusion"
"41.7736_-74.2961_20140928","no conclusion"
"41.7744_-74.1737_20160820","no conclusion"
"41.7749_-74.0975_20130814","possibly impaired"
"41.7758_-74.3216_20130822","no conclusion"
"41.7782_-74.2247_20150920","no known impact"
"41.7869_-73.9231_20160911","possibly impaired"
"41.7877_-73.9229_20180720","no conclusion"
"41.7925_-73.7262_20120702","no known impact"
"41.7943_-74.1797_20150920","no conclusion"
"41.797_-74.247_20120915","no known impact"
"41.7986_-74.2126_20171103","no conclusion"
"41.8101_-74.3741_20160707","no conclusion"
"41.814_-73.5588_20150702","no known impact"
"41.8212_-73.9625_20170831","no conclusion"
"41.8278_-73.5655_20150706","no known impact"
"41.8323_-74.0317_20160712","no known impact"
"41.8352_-73.566_20150708","no known impact"
"41.8364_-73.5666_20150708","no known impact"
"41.8422_-73.5613_20150707","no conclusion"
"41.8428_-74.0858_20150920","no known impact"
"41.8441_-73.5631_20150706","no conclusion"
"41.8445_-74.0763_20160926","no conclusion"
"41.8445_-74.0763_20170907","possibly impaired"
"41.8445_-74.0763_20190930","no conclusion"
"41.8535_-73.8764_20190731","no conclusion"
"41.8566_-73.5145_20140730","no conclusion"
"41.8571_-73.8854_20180720","no conclusion"
"41.8667_-73.556_20150707","no known impact"
"41.8677_-73.5019_20140708","no conclusion"
"41.882_-73.927_20190731","no conclusion"
"41.8834_-74.1586_20120822","no conclusion"
"41.9034_-74.1628_20130723","no conclusion"
"41.9035_-74.1635_20130730","no known impact"
"41.9036_74.8127_20180923","no known impact"
"41.9105_-74.0058_20170921","no conclusion"
"41.9283_-73.8946_20160930","no known impact"
"41.9435_-73.6023_20160820","no known impact"
"41.9485_-73.5109_20140708","no conclusion"
"41.979_-73.9629_20130814","possibly impaired"
"41.9841_-73.9139_20120707","no conclusion"
"42.0011_-76.558_20150915","no known impact"
"42.0066_-78.7756_20140712","no conclusion"
"42.0114_-75.7892_20170928","no conclusion"
"42.0162_-75.1329_20130914","no conclusion"
"42.0175_-76.7231_20170815","no conclusion"
"42.0185_-73.9777_20130814","no known impact"
"42.0195_-74.2675_20120907","no conclusion"
"42.0195_-74.2675_20120914","no known impact"
"42.0251_-76.6226_20171003","no conclusion"
"42.0265_-76.524_20150914","no known impact"
"42.0269_-79.2861_20150906","no known impact"
"42.0274_-75.7995_20170928","no conclusion"
"42.0292_-77.933_20130817","no conclusion"
"42.0299_-75.805_20160720","dry"
"42.031_-74.3702_20170911","no conclusion"
"42.0336_-74.368_20170911","no known impact"
"42.0414_-73.6437_20160918","no conclusion"
"42.045_-73.9131_20120702","no conclusion"
"42.0493_-77.9299_20130814","no known impact"
"42.0588_-76.7358_20180717","no conclusion"
"42.0589_-76.7358_20171003","no conclusion"
"42.0592_-73.5997_20160918","no known impact"
"42.0621_-74.1574_20160922","no known impact"
"42.0625_-74.8442_20130817","no conclusion"
