"Latitude","Longitude","Sample.Date","3.Low","PossiblyImpaired","sample_id","Stream.Name","X1.High","X2.Slight"
41.1339,-73.9433,NA,0.999823338,"yes","","",NA,NA
41.1456,-73.8606,NA,0.61026926,"yes","","",NA,NA
41.146,-74.1144,NA,0.667688888,"yes","","",NA,NA
41.1467,-73.9979,NA,0.949273674,"yes","","",NA,NA
41.1468,-73.9978,NA,0.980164601,"yes","","",NA,NA
41.1503,-74.0964,NA,0.751265215,"yes","","",NA,NA
41.1578,-73.9668,NA,0.80424539,"yes","","",NA,NA
41.1624,-74.0082,NA,0.843739081,"yes","","",NA,NA
41.1649,-74.0077,NA,0.82766079,"yes","","",NA,NA
41.1734,-74.0002,NA,0.843739081,"yes","","",NA,NA
41.1749,-74.0005,NA,0.901286058,"yes","","",NA,NA
41.1852,-73.8686,NA,0.667688888,"yes","","",NA,NA
41.1925,-74.0417,NA,0.926963405,"yes","","",NA,NA
41.1962,-74.0389,NA,0.901286058,"yes","","",NA,NA
41.2028,-73.9725,NA,0.789425003,"yes","","",NA,NA
41.2043,-73.9668,NA,0.877029934,"yes","","",NA,NA
41.2044,-73.9711,NA,0.901286058,"yes","","",NA,NA
41.2077,-73.7261,NA,0.965611472,"yes","","",NA,NA
41.294,-74.4358,NA,0.637142034,"yes","","",NA,NA
41.315,-73.9309,NA,0.71564646,"yes","","",NA,NA
41.3254,-73.7397,NA,0.991829459,"yes","","",NA,NA
41.3254,-73.7397,NA,0.991829459,"yes","","",NA,NA
41.3503,-73.9131,NA,0.834814054,"yes","","",NA,NA
41.4086,-74.373,NA,0.790041839,"yes","","",NA,NA
41.4167,-74.1667,NA,0.953905078,"yes","","",NA,NA
41.4298,-74.4218,NA,0.969410568,"yes","","",NA,NA
41.4724,-73.7873,NA,0.752952277,"yes","","",NA,NA
41.4828,-74.0859,NA,0.989353047,"yes","","",NA,NA
41.4861,-74.0875,NA,0.986355143,"yes","","",NA,NA
41.4864,-74.0826,NA,0.806296839,"yes","","",NA,NA
41.5011,-74.0728,NA,0.758665904,"yes","","",NA,NA
41.5082,-73.5862,NA,0.918399384,"yes","","",NA,NA
41.5083,-73.586,NA,0.725973631,"yes","","",NA,NA
41.5678,-73.9122,NA,0.834814054,"yes","","",NA,NA
41.682,-73.8927,NA,0.702593937,"yes","","",NA,NA
41.7011,-73.8886,NA,0.994369173,"yes","","",NA,NA
41.7071,-73.9239,NA,0.667688888,"yes","","",NA,NA
41.7087,-73.9334,NA,0.667688888,"yes","","",NA,NA
41.7091,-73.9388,NA,0.667688888,"yes","","",NA,NA
41.8677,-73.5019,NA,0.949273674,"yes","","",NA,NA
42.0066,-78.7756,NA,0.77324554,"yes","","",NA,NA
42.0414,-73.6437,NA,0.525516589,"yes","","",NA,NA
42.045,-73.9131,NA,0.783049805,"yes","","",NA,NA
42.0714,-76.7754,NA,0.949876067,"yes","","",NA,NA
42.0803,-73.9383,NA,0.680149486,"yes","","",NA,NA
42.0814,-76.7798,NA,0.750447266,"yes","","",NA,NA
42.0814,-76.7798,NA,0.750447266,"yes","","",NA,NA
42.0884,-73.9768,NA,0.835730459,"yes","","",NA,NA
42.1014,-76.0251,NA,0.515796929,"yes","","",NA,NA
42.1076,-73.9496,NA,0.747964097,"yes","","",NA,NA
42.1132,-73.5634,NA,0.877029934,"yes","","",NA,NA
42.1931,-73.5802,NA,0.785121687,"yes","","",NA,NA
42.2735,-75.7427,NA,0.615231435,"yes","","",NA,NA
42.2805,-73.7114,NA,0.978050918,"yes","","",NA,NA
42.2805,-73.7114,NA,0.978050918,"yes","","",NA,NA
42.465,-73.7922,NA,0.603545261,"yes","","",NA,NA
42.4764,-73.7932,NA,0.973376503,"yes","","",NA,NA
42.4822,-79.3055,NA,0.906041361,"yes","","",NA,NA
42.4822,-79.3055,NA,0.906041361,"yes","","",NA,NA
42.5359,-74.0771,NA,0.570306928,"yes","","",NA,NA
42.5775,-73.8137,NA,0.819999194,"yes","","",NA,NA
42.5978,-76.6303,NA,0.877029934,"yes","","",NA,NA
42.5984,-73.7817,NA,0.75585457,"yes","","",NA,NA
42.6331,-78.3342,NA,0.677272234,"yes","","",NA,NA
42.6343,-73.8014,NA,0.706696583,"yes","","",NA,NA
42.6343,-73.8014,NA,0.706696583,"yes","","",NA,NA
42.6343,-73.8014,NA,0.706696583,"yes","","",NA,NA
42.6345,-73.8,NA,0.667688888,"yes","","",NA,NA
42.6345,-73.999,NA,0.915583127,"yes","","",NA,NA
42.6493,-73.847,NA,0.568088469,"yes","","",NA,NA
42.6505,-73.8444,NA,0.901286058,"yes","","",NA,NA
42.6506,-73.8449,NA,0.987058306,"yes","","",NA,NA
42.6592,-73.828,NA,0.990250655,"yes","","",NA,NA
42.6683,-73.8275,NA,0.790687458,"yes","","",NA,NA
42.6719,-73.7578,NA,0.981537812,"yes","","",NA,NA
42.672,-73.828,NA,0.671299283,"yes","","",NA,NA
42.6767,-73.8356,NA,0.975837578,"yes","","",NA,NA
42.6784,-73.8372,NA,0.957260548,"yes","","",NA,NA
42.6832,-73.9087,NA,0.790687458,"yes","","",NA,NA
42.6868,-73.7432,NA,0.671299283,"yes","","",NA,NA
42.6873,-78.9996,NA,0.913965852,"yes","","",NA,NA
42.692,-73.7783,NA,0.889921734,"yes","","",NA,NA
42.6923,-73.7781,NA,0.93461936,"yes","","",NA,NA
42.6998,-73.939,NA,0.891408342,"yes","","",NA,NA
42.702,-73.9658,NA,0.850370875,"yes","","",NA,NA
42.7366,-73.7145,NA,0.975837578,"yes","","",NA,NA
42.7389,-73.7145,NA,0.958137873,"yes","","",NA,NA
42.7543,-73.7006,NA,0.969394887,"yes","","",NA,NA
42.7543,-73.7006,NA,0.969394887,"yes","","",NA,NA
42.7554,-73.8658,NA,0.565201483,"yes","","",NA,NA
42.7565,-73.867,NA,0.886061322,"yes","","",NA,NA
42.7647,-73.723,NA,0.68914437,"yes","","",NA,NA
42.7756,-73.7637,NA,0.842903694,"yes","","",NA,NA
42.7775,-73.8227,NA,0.836425749,"yes","","",NA,NA
42.7781,-73.7917,NA,0.790687458,"yes","","",NA,NA
42.7786,-73.7915,NA,0.927255576,"yes","","",NA,NA
42.7833,-73.8572,NA,0.530782104,"yes","","",NA,NA
42.7833,-73.8572,NA,0.530782104,"yes","","",NA,NA
42.794,-74.1724,NA,0.992721043,"yes","","",NA,NA
42.8019,-73.848,NA,0.942026128,"yes","","",NA,NA
42.829,-76.407,NA,0.518876155,"yes","","",NA,NA
42.8335,-77.6967,NA,0.582771663,"yes","","",NA,NA
42.834,-77.8962,NA,0.506232213,"yes","","",NA,NA
42.8454,-74.0129,NA,0.991823119,"yes","","",NA,NA
42.85,-76.464,NA,0.669033738,"yes","","",NA,NA
42.853,-73.8959,NA,0.901286058,"yes","","",NA,NA
42.875,-76.562,NA,0.907429009,"yes","","",NA,NA
42.885,-76.47,NA,0.757702193,"yes","","",NA,NA
42.8929,-77.6742,NA,0.958137873,"yes","","",NA,NA
42.894,-73.7911,NA,0.920139867,"yes","","",NA,NA
42.896,-73.7913,NA,0.874701898,"yes","","",NA,NA
42.9012,-76.5273,NA,0.839692075,"yes","","",NA,NA
42.9037,-73.5455,NA,0.768147012,"yes","","",NA,NA
42.9113,-73.8984,NA,0.829457157,"yes","","",NA,NA
42.917,-76.515,NA,0.994436419,"yes","","",NA,NA
42.918,-76.522,NA,0.518316371,"yes","","",NA,NA
42.9183,-73.7694,NA,0.627187814,"yes","","",NA,NA
42.924,-76.508,NA,0.915583127,"yes","","",NA,NA
42.9457,-78.3431,NA,0.65586789,"yes","","",NA,NA
42.9462,-73.9953,NA,0.80424539,"yes","","",NA,NA
42.9618,-78.3533,NA,0.858320118,"yes","","",NA,NA
42.979,-77.9884,NA,0.835486912,"yes","","",NA,NA
42.9939,-78.4351,NA,0.661252222,"yes","","",NA,NA
43.0049,-78.9058,NA,0.97120323,"yes","","",NA,NA
43.0166,-73.7701,NA,0.974161497,"yes","","",NA,NA
43.0292,-77.8221,NA,0.792194616,"yes","","",NA,NA
43.0295,-78.3938,NA,0.905790374,"yes","","",NA,NA
43.0455,-77.387,NA,0.558715181,"yes","","",NA,NA
43.0519,-78.7516,NA,0.992721043,"yes","","",NA,NA
43.0683,-77.6201,NA,0.985231746,"yes","","",NA,NA
43.0894,-73.7704,NA,0.975837578,"yes","","",NA,NA
43.093,-77.8648,NA,0.891294493,"yes","","",NA,NA
43.1,-77.7531,NA,0.99584652,"yes","","",NA,NA
43.108,-77.4631,NA,0.918537392,"yes","","",NA,NA
43.108,-77.471,NA,0.686408865,"yes","","",NA,NA
43.1343,-77.5251,NA,0.752952277,"yes","","",NA,NA
43.1603,-76.3281,NA,0.900792843,"yes","","",NA,NA
43.2382,-77.5724,NA,0.667688888,"yes","","",NA,NA
43.2413,-77.3395,NA,0.824697242,"yes","","",NA,NA
43.2552,-77.4715,NA,0.64745299,"yes","","",NA,NA
43.2582,-77.3077,NA,0.747964097,"yes","","",NA,NA
43.2585,-75.9122,NA,0.563608954,"yes","","",NA,NA
43.2593,-77.0251,NA,0.704701929,"yes","","",NA,NA
43.2672,-77.2495,NA,0.952435429,"yes","","",NA,NA
43.2678,-79.0039,NA,0.535977284,"yes","","",NA,NA
43.2734,-77.3143,NA,0.941606691,"yes","","",NA,NA
43.2756,-77.2749,NA,0.922426913,"yes","","",NA,NA
43.2772,-77.85,NA,0.76706949,"yes","","",NA,NA
43.284,-75.5603,NA,0.809310785,"yes","","",NA,NA
43.2841,-77.8852,NA,0.970546309,"yes","","",NA,NA
43.2841,-77.8852,NA,0.970546309,"yes","","",NA,NA
43.2853,-78.7133,NA,0.946004391,"yes","","",NA,NA
43.3335,-77.9345,NA,0.863771062,"yes","","",NA,NA
43.3502,-73.693,NA,0.747624362,"yes","","",NA,NA
43.3535,-76.5521,NA,0.752952277,"yes","","",NA,NA
43.358,-73.684,NA,0.963496569,"yes","","",NA,NA
43.3721,-73.6771,NA,0.901286058,"yes","","",NA,NA
43.4669,-76.18,NA,0.524063276,"yes","","",NA,NA
43.7217,-73.8148,NA,0.80424539,"yes","","",NA,NA
43.8021,-76.2117,NA,0.876537727,"yes","","",NA,NA
43.8055,-76.2156,NA,0.667688888,"yes","","",NA,NA
43.8457,-76.182,NA,0.979719356,"yes","","",NA,NA
44.2699,-75.9992,NA,0.751265215,"yes","","",NA,NA
44.4406,-74.2328,NA,0.646050084,"yes","","",NA,NA
44.7908,-73.4283,NA,0.958137873,"yes","","",NA,NA
45.0026,-73.3755,NA,0.946029543,"yes","","",NA,NA
42.920957,-78.294608,NA,0.982347556,"yes","","",NA,NA
41.4019,-74.34147,NA,0.813596943,"yes","","",NA,NA
41.02,-73.5619,NA,0.917995999,"yes","","",NA,NA
41.19997,-74.02677,NA,0.576187337,"yes","","",NA,NA
42.0874,-76.7034,NA,0.805051922,"yes","","",NA,NA
41.612395,-73.7513142,NA,0.975669331,"yes","","",NA,NA
41.09128,-74.08314,2022-08-01,0.647635810784514,"yes","01831c1e-440d-4bed-82ca-2a8e94ce2ba4","Saddle River",NA,NA
41.087683,-73.917535,2022-08-14,0.759988724596805,"yes","111f4347-1d74-418b-827d-e9fc76c41d33","Nyack Brook",NA,NA
41.132693,-74.0080694,2022-07-26,0.796247968722346,"yes","2a0bc10a-ad8a-4cb3-8106-a74d72a055fc","Link Stream",NA,NA
40.90609,-73.81348,2022-07-30,0.796247968722346,"yes","38773b69-52e3-4f97-8599-299e3c9aab97","Hutchinson River",NA,NA
40.95051,-73.79818,2022-09-18,0.525086453035714,"yes","3dbeb012-d7ba-4807-8718-33da06344dad","Hutchinson River",NA,NA
40.90568,-73.8138,2022-07-30,0.796247968722346,"yes","7c4354ad-5c5b-4db2-816b-b8a214a77473","Hutchinson River",NA,NA
41.1387,-73.94326,2022-07-26,0.963804495819312,"yes","b3dbf8e7-8d4c-4245-84f5-0a14da1662c7","East Branch Hackensack",NA,NA
