Latitude,Longitude,Sample.Date,3.Low,PossiblyImpaired,sample_id,Stream.Name
42.6343,-73.8014,9/7/2012,0.706696583,yes,,
42.6345,-73.8,9/23/2013,0.667688888,yes,,
42.6345,-73.999,8/30/2017,0.915583127,yes,,
42.6493,-73.847,9/18/2019,0.568088469,yes,,
42.6505,-73.8444,7/7/2016,0.901286058,yes,,
42.6506,-73.8449,9/20/2012,0.987058306,yes,,
42.6592,-73.828,8/7/2016,0.990250655,yes,,
42.6683,-73.8275,8/7/2017,0.790687458,yes,,
42.6719,-73.7578,7/20/2016,0.981537812,yes,,
42.672,-73.828,9/12/2012,0.671299283,yes,,
42.6767,-73.8356,8/11/2016,0.975837578,yes,,
42.6784,-73.8372,8/23/2016,0.957260548,yes,,
42.6832,-73.9087,8/4/2017,0.790687458,yes,,
42.6868,-73.7432,9/13/2014,0.671299283,yes,,
42.6873,-78.9996,8/10/2014,0.913965852,yes,,
42.692,-73.7783,8/27/2019,0.889921734,yes,,
42.6923,-73.7781,8/15/2017,0.93461936,yes,,
42.6998,-73.939,9/29/2016,0.891408342,yes,,
42.702,-73.9658,9/29/2016,0.850370875,yes,,
42.7366,-73.7145,7/28/2016,0.975837578,yes,,
42.7389,-73.7145,7/26/2014,0.958137873,yes,,
42.7543,-73.7006,8/7/2014,0.969394887,yes,,
42.7543,-73.7006,9/23/2015,0.969394887,yes,,
42.7554,-73.8658,7/1/2014,0.565201483,yes,,
42.7565,-73.867,8/9/2018,0.886061322,yes,,
42.7647,-73.723,8/14/2018,0.68914437,yes,,
42.7756,-73.7637,9/20/2015,0.842903694,yes,,
42.7775,-73.8227,7/19/2012,0.836425749,yes,,
42.7781,-73.7917,8/12/2014,0.790687458,yes,,
42.7786,-73.7915,9/12/2014,0.927255576,yes,,
42.7833,-73.8572,7/11/2012,0.530782104,yes,,
42.7833,-73.8572,7/24/2014,0.530782104,yes,,
42.794,-74.1724,7/16/2014,0.992721043,yes,,
42.8019,-73.848,8/30/2012,0.942026128,yes,,
42.829,-76.407,7/19/2017,0.518876155,yes,,
42.8335,-77.6967,9/27/2013,0.582771663,yes,,
42.834,-77.8962,9/30/2016,0.506232213,yes,,
42.8454,-74.0129,8/31/2012,0.991823119,yes,,
42.85,-76.464,7/18/2017,0.669033738,yes,,
42.853,-73.8959,7/20/2016,0.901286058,yes,,
42.875,-76.562,8/10/2017,0.907429009,yes,,
42.885,-76.47,7/18/2017,0.757702193,yes,,
42.8929,-77.6742,8/1/2014,0.958137873,yes,,
42.894,-73.7911,8/6/2013,0.920139867,yes,,
42.896,-73.7913,9/9/2015,0.874701898,yes,,
42.9012,-76.5273,9/20/2015,0.839692075,yes,,
42.9037,-73.5455,8/21/2015,0.768147012,yes,,
42.9113,-73.8984,8/26/2018,0.829457157,yes,,
42.917,-76.515,7/18/2017,0.994436419,yes,,
42.918,-76.522,7/18/2017,0.518316371,yes,,
42.9183,-73.7694,8/6/2013,0.627187814,yes,,
42.924,-76.508,7/17/2017,0.915583127,yes,,
42.9457,-78.3431,8/22/2019,0.65586789,yes,,
42.9462,-73.9953,7/18/2017,0.80424539,yes,,
42.9618,-78.3533,8/21/2019,0.858320118,yes,,
42.979,-77.9884,9/30/2017,0.835486912,yes,,
42.9939,-78.4351,8/20/2019,0.661252222,yes,,
43.0049,-78.9058,9/14/2014,0.97120323,yes,,
43.0166,-73.7701,8/12/2016,0.974161497,yes,,
