"LatLon","LATITUDE","LONGITUDE","SBU.4.LTR","County","Stream.Name..NHD.if.available.otherwise.WI.","Concerns.from.Participants","PWL_ID","WIN","HUC_8","Classification","More.recently.used.Coordinates..changed.because.within.500..of.previous.site."
"41.0681,-74.0400",41.0681,-74.04,NA,NA,"Pascack Brook",NA,NA,NA,NA,NA,NA
"41.0683,-74.0264",41.0683,-74.0264,NA,NA,"Muddy Creek",NA,NA,NA,NA,NA,NA
"41.0688,-73.9375",41.0688,-73.9375,"","","North Branch, Sparkill","","","",NA,"",""
"41.0827,-74.0825",41.0827,-74.0825,"","","Saddle River","","","",NA,"",""
"41.0828,-74.0825",41.0828,-74.0825,"","Rockland","Saddle River","","1501-0033","NJ- 6 thru 8",2030103,"C",""
"41.0864,-73.9627",41.0864,-73.9627,"","","Hackensack River","","","",NA,"",""
"41.0916,-74.0828",41.0916,-74.0828,NA,NA,"Saddle River",NA,NA,NA,NA,NA,NA
"41.1145,-74.22",41.1145,-74.22,"","","Minisceongo","","","",NA,"",""
"41.118,-74.0438",41.118,-74.0438,"","Rockland","Pascack Brook and tribs, within NYS","","1501-0015","NJ- 5",2030103,"C",""
"41.1181,-73.9445",41.1181,-73.9445,NA,NA,"Tributary to Lake Deforest (East Branch Hackensack)",NA,NA,NA,NA,NA,NA
"41.1182,-73.9446",41.1182,-73.9446,NA,NA,"Lake Deforest Trib",NA,NA,NA,NA,NA,NA
"41.1213,-73.8334",41.1213,-73.8334,"POCA01","Westchester","Pocantico River","","1301-0110","H- 20",2030101,"B(T)",""
"41.1213,-73.8672",41.1213,-73.8672,"RWOO01","Westchester","Minor Tribs to East of Hudson","","1301-0117","H- 24 thru 27, EOH",2030101,"SC / C",""
"41.1256,-73.4476",41.1256,-73.4476,NA,NA,"East Branch Hackensack*/ Congers Lake Branch",NA,NA,NA,NA,NA,NA
"41.1324,-73.8187",41.1324,-73.8187,"POCA00","Westchester","Pocantico River","","1301-0110","H- 20",2030101,"B(T)",""
"41.1338,-73.5903",41.1338,-73.5903,"","","Cedar Pond Brooke","","","",NA,"",""
"41.1338,-73.9433",41.1338,-73.9433,NA,NA,"East Branch Hackensack*/ Congers Lake Branch",NA,NA,NA,NA,NA,NA
"41.1339,-73.9433",41.1339,-73.9433,NA,NA,"East Branch Hackensack/Congers Lake Branch",NA,NA,NA,NA,NA,NA
"41.1349,-74.1634",41.1349,-74.1634,NA,NA,"Ramapo River",NA,NA,NA,NA,NA,NA
"41.135,-74.163",41.135,-74.163,"","","Ramapo River","","","",NA,"",""
"41.1352,-74.1632",41.1352,-74.1632,NA,NA,"Ramapo River",NA,NA,NA,NA,NA,NA
"41.1442,-74.1149",41.1442,-74.1149,NA,NA,"Mahwah River",NA,NA,NA,NA,NA,NA
"41.1442,-74.1151",41.1442,-74.1151,NA,NA,"Mahwah River",NA,NA,NA,NA,NA,NA
"41.1446,-74.1151",41.1446,-74.1151,"","","Mahwah River","","","",NA,"",""
"41.1454,-73.9959",41.1454,-73.9959,NA,NA,"Demarest Kill",NA,NA,NA,NA,NA,NA
"41.1456,-73.8606",41.1456,-73.8606,"","Westchester","Sparta Brook","","1301-0117","H- 24 thru 27, EOH",2030101,"SC / C",""
"41.146,-74.1144",41.146,-74.1144,"","","Mahwah River","","","",NA,"",""
"41.1460,-73.9960",41.146,-73.996,NA,NA,"Demarst Kill",NA,NA,NA,NA,NA,NA
"41.1467,-73.9979",41.1467,-73.9979,"","Rockland","West Br.Hackensack, Upper, and tribs","","1501-0009","NJ- 1/P977a-12",2030103,"C(T)",""
"41.1467,-74.1116",41.1467,-74.1116,"","Rockland","Mahwah River","","1501-0035","NJ-11",2030103,"A(T)",""
"41.1468,-73.9978",41.1468,-73.9978,"","","Demerest Kill","","","",NA,"",""
"41.1503,-74.0964",41.1503,-74.0964,"","","Willow Treebrook","","","",NA,"",""
"41.1504,-74.0956",41.1504,-74.0956,"","Rockland","Mahwah River, Upper, and tribs","","1501-0035","NJ-11",2030103,"C(T)",""
"41.151,-74.197",41.151,-74.197,"WRAMAS","Rockland","Ramapo River, Lower, and minor tribs","","1501-0012","NJ-12",2030103,"B",""
"41.1547,-74.1960",41.1547,-74.196,NA,NA,"Nakoma Brook",NA,NA,NA,NA,NA,NA
"41.1548,-74.1964",41.1548,-74.1964,"","","Nakoma Brook","","","",NA,"",""
"41.1549,-74.1959",41.1549,-74.1959,"","Rockland","Ramapo River, Lower, and minor tribs","","1501-0012","NJ-12",2030103,"B",""
"41.1578,-73.9668",41.1578,-73.9668,NA,NA,"West Hackensack River",NA,NA,NA,NA,NA,NA
"41.1618,-74.1887",41.1618,-74.1887,"","","Ramapo River","","","",NA,"",""
"41.1619,-74.1884",41.1619,-74.1884,"","Rockland","Stony Brook","","1501-0039","NJ-12- 6",2030103,"B",""
